ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,round
1345,59.035,200624_052443_0000000017_CAM2_OK.bmp,46.399,200624_052449_0000000018_CAM2_OK.bmp,F,1.085016494,0.773730034,0.085016494,0.292440459,1.068397387,0.779231279,0.068397387,0.28331604,3
1346,62.108,200624_052526_0000000019_CAM2_OK.bmp,45.371,200624_052534_0000000020_CAM2_OK.bmp,M,1.100145882,0.758432957,0.100145882,0.318508104,1.099427827,0.761874987,0.099427827,0.312551294,3
1351,62.401,200624_052612_0000000021_CAM2_OK.bmp,48.769,200624_052620_0000000022_CAM2_OK.bmp,F,1.087562219,0.775785145,0.087562219,0.28901669,1.083678583,0.777349852,0.083678583,0.286422063,3
1352,63.913,200624_052653_0000000023_CAM2_OK.bmp,48.245,200624_052659_0000000024_CAM2_OK.bmp,F,1.105711495,0.74553393,0.105711495,0.341320576,1.099167462,0.749910393,0.099167462,0.333492653,3
1353,65.006,200624_052727_0000000025_CAM2_OK.bmp,48.865,200624_052734_0000000026_CAM2_OK.bmp,F,1.077860525,0.747113282,0.077860525,0.338485106,1.073507318,0.75018942,0.073507318,0.332996672,3
1354,63.424,200624_052758_0000000027_CAM2_OK.bmp,48.331,200624_052804_0000000028_CAM2_OK.bmp,M,1.098417979,0.755014462,0.098417979,0.324477941,1.091562457,0.758688838,0.091562457,0.318063415,3
1355,64.397,200624_052831_0000000029_CAM2_OK.bmp,51.119,200624_052837_0000000030_CAM2_OK.bmp,M,1.076903488,0.787804808,0.076903488,0.269349958,1.085553636,0.786413407,0.085553636,0.271595819,3
1356,60.913,200624_052855_0000000031_CAM2_OK.bmp,47.082,200624_052902_0000000032_CAM2_OK.bmp,M,1.116363772,0.766173921,0.116363772,0.305186686,1.095744839,0.771336551,0.095744839,0.296450945,3
1361,62.785,200624_052945_0000000033_CAM2_OK.bmp,49.453,200624_052950_0000000034_CAM2_OK.bmp,M,1.090009108,0.779072895,0.090009108,0.283576937,1.083227068,0.77876996,0.083227068,0.284076238,3
1362,65.211,200624_053013_0000000035_CAM2_OK.bmp,47.464,200624_053018_0000000036_CAM2_OK.bmp,M,1.099550206,0.724785879,0.099550206,0.379717829,1.101118141,0.729903918,0.101118141,0.370043338,3
1363,62.559,200624_053046_0000000037_CAM2_OK.bmp,47.627,200624_053052_0000000038_CAM2_OK.bmp,F,1.100642636,0.751926978,0.100642636,0.329916373,1.112261833,0.753320193,0.112261833,0.327456784,3
1364,63.921,200624_053121_0000000039_CAM2_OK.bmp,46.337,200624_053126_0000000040_CAM2_OK.bmp,M,1.056095594,0.748632879,0.056095594,0.335768208,1.048123996,0.75065473,0.048123996,0.332170385,3
1365,60.377,200624_053209_0000000041_CAM2_OK.bmp,48.864,200624_053215_0000000042_CAM2_OK.bmp,F,1.075074138,0.784855208,0.075074138,0.27412036,1.076817347,0.78837618,0.076817347,0.268430003,3
1366,65.065,200624_053253_0000000043_CAM2_OK.bmp,48.953,200624_053258_0000000044_CAM2_OK.bmp,F,1.108180371,0.745484294,0.108180371,0.341409884,1.092743933,0.750512017,0.092743933,0.332423702,3
2111,62.225,200624_053353_0000000045_CAM2_OK.bmp,47.054,200624_053358_0000000046_CAM2_OK.bmp,M,1.111911014,0.75105184,0.111911014,0.331466014,1.097722662,0.754194437,0.097722662,0.325918028,3
2112,66.809,200624_053431_0000000047_CAM2_OK.bmp,49.556,200624_053437_0000000048_CAM2_OK.bmp,M,1.072025148,0.738922018,0.072025148,0.35332278,1.072697938,0.742818622,0.072697938,0.346223655,3
2113,65.654,200624_053500_0000000049_CAM2_OK.bmp,49.382,200624_053505_0000000050_CAM2_OK.bmp,M,1.05166087,0.74972805,0.05166087,0.333816975,1.048544962,0.753309377,0.048544962,0.327475843,3
2114,65.758,200624_053535_0000000051_CAM2_OK.bmp,48.881,200624_053540_0000000052_CAM2_OK.bmp,M,1.080413477,0.737432114,0.080413477,0.356057026,1.07282608,0.741332918,0.07282608,0.348921619,3
2115,62.857,200624_053605_0000000053_CAM2_OK.bmp,49.984,200624_053611_0000000054_CAM2_OK.bmp,M,1.073982183,0.791859544,0.073982183,0.262850221,1.080358582,0.793959864,0.080358582,0.25950951,3
2116,65.997,200624_053637_0000000055_CAM2_OK.bmp,48.939,200624_053643_0000000056_CAM2_OK.bmp,M,1.077568381,0.738852996,0.077568381,0.353449204,1.062271016,0.737575922,0.062271016,0.355792631,3
2121,62.931,200624_053738_0000000057_CAM2_OK.bmp,47.609,200624_053800_0000000058_CAM2_OK.bmp,M,1.062018721,0.750696982,0.062018721,0.332095405,1.064922194,0.755815845,0.064922194,0.323073612,3
2122,63.83,200624_053828_0000000059_CAM2_OK.bmp,49.545,200624_053834_0000000060_CAM2_OK.bmp,M,1.060874187,0.767094004,0.060874187,0.303621192,1.082314486,0.770268773,0.082314486,0.298248138,3
2123,66.769,200624_053900_0000000061_CAM2_OK.bmp,46.331,200624_053904_0000000062_CAM2_OK.bmp,M,1.104101563,0.740872441,0.104101563,0.349760019,1.090533145,0.744596114,0.090533145,0.343009963,3
2124,66.621,200624_053931_0000000063_CAM2_OK.bmp,48.428,200624_053940_0000000064_CAM2_OK.bmp,M,1.100281282,0.722587826,0.100281282,0.383914818,1.0847928,0.727845555,0.0847928,0.37391785,3
2125,63.608,200624_054039_0000000065_CAM2_OK.bmp,48.268,200624_054049_0000000066_CAM2_OK.bmp,M,1.056842482,0.754494276,0.056842482,0.325391103,1.046100752,0.75996304,0.046100752,0.315853466,3
2126,67.671,200624_054115_0000000067_CAM2_OK.bmp,48.316,200624_054123_0000000068_CAM2_OK.bmp,M,1.12199607,0.703558144,0.12199607,0.421346634,1.125676533,0.708545503,0.125676533,0.411341961,3
2131,62.452,200624_054159_0000000069_CAM2_OK.bmp,46.279,200624_054203_0000000070_CAM2_OK.bmp,F,1.09221999,0.738807279,0.09221999,0.353532956,1.09175633,0.744393534,0.09175633,0.343375453,3
2132,61.02,200624_054226_0000000071_CAM2_OK.bmp,45.063,200624_054231_0000000072_CAM2_OK.bmp,M,1.0702763,0.761357775,0.0702763,0.313442948,1.080784698,0.765372892,0.080784698,0.306552676,3
2133,60.18,200624_054250_0000000073_CAM2_OK.bmp,47.774,200624_054255_0000000074_CAM2_OK.bmp,M,1.039426068,0.785804554,0.039426068,0.27258107,1.042202722,0.789902344,0.042202722,0.265979279,3
2134,64.153,200624_054318_0000000075_CAM2_OK.bmp,48.063,200624_054326_0000000076_CAM2_OK.bmp,F,1.045479379,0.77162204,0.045479379,0.295971277,1.058028594,0.779468533,0.058028594,0.282925426,3
2135,62.745,200624_054351_0000000077_CAM2_OK.bmp,48.343,200624_054357_0000000078_CAM2_OK.bmp,Not fertile,1.120892171,0.757322878,0.120892171,0.320440765,1.117913657,0.762398807,0.117913657,0.311649482,3
