ID,length,imagepath-length,width,imagepath-width,label,L-length,T-length,A-length,E-length,L-width,T-width,A-width,E-width,weight-day1,weight-day2,round
2133,60.18,200624_054250_0000000073_CAM2_OK.bmp,47.774,200624_054255_0000000074_CAM2_OK.bmp,M,1.039426068,0.785804554,0.039426068,0.27258107,1.042202722,0.789902344,0.042202722,0.265979279,67.224,66.751,3
2134,64.153,200624_054318_0000000075_CAM2_OK.bmp,48.063,200624_054326_0000000076_CAM2_OK.bmp,F,1.045479379,0.77162204,0.045479379,0.295971277,1.058028594,0.779468533,0.058028594,0.282925426,61.025,60.609,3
2135,62.745,200624_054351_0000000077_CAM2_OK.bmp,48.343,200624_054357_0000000078_CAM2_OK.bmp,Not fertile,1.120892171,0.757322878,0.120892171,0.320440765,1.117913657,0.762398807,0.117913657,0.311649482,57.934,57.578,3
2136,64.58,200624_054414_0000000079_CAM2_OK.bmp,48.915,200624_054419_0000000080_CAM2_OK.bmp,M,1.10601832,0.752960781,0.10601832,0.32809042,1.09350351,0.756380197,0.09350351,0.322086437,55.951,55.571,3
2141,65.504,200624_054453_0000000081_CAM2_OK.bmp,47.657,200624_054459_0000000082_CAM2_OK.bmp,F,1.09473697,0.713661698,0.09473697,0.401224141,1.092583133,0.716046319,0.092583133,0.3965577,61.645,61.309,3
2142,60.045,200624_054524_0000000083_CAM2_OK.bmp,46.978,200624_054529_0000000084_CAM2_OK.bmp,M,1.095640996,0.773670278,0.095640996,0.292540282,1.097814782,0.778141816,0.097814782,0.28511279,61.619,61.229,3
2143,63.122,200624_054550_0000000085_CAM2_OK.bmp,47.796,200624_054555_0000000086_CAM2_OK.bmp,M,1.06301543,0.751854665,0.06301543,0.330044285,1.054310359,0.756116591,0.054310359,0.322547359,51.588,51.218,3
2144,62.44,200624_054618_0000000087_CAM2_OK.bmp,49.306,200624_054624_0000000088_CAM2_OK.bmp,M,1.033203012,0.788095749,0.033203012,0.268881353,1.028442401,0.794259729,0.028442401,0.259033996,56.221,55.844,3
2145,62.715,200624_054651_0000000089_CAM2_OK.bmp,47.594,200624_054656_0000000090_CAM2_OK.bmp,M,1.091251164,0.75324696,0.091251164,0.327585843,1.085435688,0.757711528,0.085435688,0.319763477,47.591,47.11,3
2146,64.704,200624_054719_0000000091_CAM2_OK.bmp,49.376,200624_054723_0000000092_CAM2_OK.bmp,M,1.091864647,0.751793205,0.091864647,0.330153017,1.072341421,0.75589962,0.072341421,0.322926979,56.997,56.63,3
2151,64.284,200624_054804_0000000093_CAM2_OK.bmp,47.634,200624_054811_0000000094_CAM2_OK.bmp,F,1.142808847,0.724448105,0.142808847,0.380361124,1.081179594,0.733084515,0.081179594,0.3640992,53.943,53.583,3
